Smiles 1,Smiles 2,DES melting temperature,molar ratio of component 1,SELFIES 1,SELFIES 2
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],525.7,0.1,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],525.6,0.1019999999999999,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],478.8,0.202,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],478.9,0.203,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],425.5,0.3009999999999999,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],427.6,0.3019999999999999,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],377.5,0.399,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],377.0,0.4,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],337.1,0.499,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],337.1,0.503,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],303.5,0.5989999999999999,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],303.4,0.6,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],322.5,0.699,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
CCn1cc[n+](C)c1.[Cl-],C[N+](C)(C)CCO.[Cl-],321.5,0.7009999999999998,[C][C][N][C][=C][N+1][Branch1][C][C][=C][Ring1][=Branch1].[Cl-1],[C][N+1][Branch1][C][C][Branch1][C][C][C][C][O].[Cl-1]
